Year,Average Ticket Price,Total Gross,Number of Movies,#1 Movie
2015,8.43,11128.5,702,Star Wars: The Force Awakens
2014,8.17,10360.8,702,American Sniper
2013,8.13,10923.6,688,Catching Fire
2012,7.96,10837.4,667,The Avengers
2011,7.93,10174.3,602,Harry Potter / Deathly Hallows (P2)
2010,7.89,10565.6,536,Toy Story 3
2009,7.5,10595.5,521,Avatar
2008,7.18,9630.7,608,The Dark Knight
2007,6.88,9663.8,631,Spider-Man 3
2006,6.55,9209.5,608,Dead Man's Chest
2005,6.41,8840.5,547,Revenge of the Sith
2004,6.21,9380.5,551,Shrek 2
2003,6.03,9239.7,506,Return of the King
2002,5.8,9155.0,479,Spider-Man
2001,5.65,8412.5,482,Harry Potter / Sorcerer's Stone
2000,5.39,7661.0,478,The Grinch
1999,5.06,7448.0,461,The Phantom Menace
1998,4.69,6949.0,509,Saving Private Ryan
1997,4.59,6365.9,510,Titanic
1996,4.42,5911.5,471,Independence Day
1995,4.35,5493.5,411,Toy Story
1994,4.08,5396.2,453,Forrest Gump
1993,4.14,5154.2,462,Jurassic Park
1992,4.15,4871.0,480,Aladdin
1991,4.21,4803.2,458,Terminator 2
1990,4.22,5021.8,410,Home Alone
1989,3.99,5033.4,502,Batman
1988,4.11,4458.4,510,Rain Man
1987,3.91,4252.9,509,Three Men and a Baby
1986,3.71,3778.0,451,Top Gun
1985,3.55,3749.2,470,Back to the Future
1984,3.36,4031.0,536,Beverly Hills Cop
1983,3.15,3766.0,495,Return of the Jedi
1982,2.94,3453.0,428,E.T.
1981,2.78,2966.0,173,Raiders / Lost Ark
1980,2.69,2749.0,161,The Empire Strikes Back
