,st,state,year,population,violentcrimetotal,murderandnonnegligentmanslaughte,forciblerape,robbery,aggravatedassault,propertycrimetotal,burglary,larcenytheft,motorvehicletheft,violentcrimerate,murderrate,forcibleraperate,robberyrate,aggravatedassaultrate,propertycrimerate,burglaryrate,larcenytheftrate,motorvehicletheftrate
0,AK,Alaska,1960,226167,236,23,47,64,102,3494,751,2195,548,104.3000031,10.19999981,20.79999924,28.29999924,45.09999847,1544.900024,332.1000061,970.5,242.3000031
1,AK,Alaska,1961,234000,208,27,31,29,121,3605,891,2223,491,88.90000153,11.5,13.19999981,12.39999962,51.70000076,1540.599976,380.7999878,950,209.8000031
2,AK,Alaska,1962,246000,225,11,46,34,134,3849,865,2424,560,91.5,4.5,18.70000076,13.80000019,54.5,1564.599976,351.6000061,985.4000244,227.6000061
3,AK,Alaska,1963,248000,272,16,37,55,164,4843,946,3010,887,109.6999969,6.5,14.89999962,22.20000076,66.09999847,1952.800049,381.5,1213.699951,357.7000122
4,AK,Alaska,1964,250000,375,26,56,53,240,5040,1109,3046,885,150,10.39999962,22.39999962,21.20000076,96,2016,443.6000061,1218.400024,354
5,AK,Alaska,1965,253000,377,16,45,101,215,6210,1403,3777,1030,149,6.300000191,17.79999924,39.90000153,85,2454.5,554.5,1492.900024,407.1000061
6,AK,Alaska,1966,272000,409,35,53,98,223,7168,1613,4354,1201,150.3999939,12.89999962,19.5,36,82,2635.300049,593,1600.699951,441.5
7,AK,Alaska,1967,272000,437,26,48,96,267,7409,1873,4436,1100,160.6999969,9.600000381,17.60000038,35.29999924,98.19999695,2723.899902,688.5999756,1630.900024,404.3999939
8,AK,Alaska,1968,277000,486,29,60,146,251,8713,2070,5307,1336,175.5,10.5,21.70000076,52.70000076,90.59999847,3145.5,747.2999878,1915.900024,482.2999878
9,AK,Alaska,1969,282000,624,30,83,190,321,10318,2455,6195,1668,221.3000031,10.60000038,29.39999962,67.40000153,113.8000031,3658.899902,870.5999756,2196.800049,591.5
10,AK,Alaska,1970,302173,840,37,79,217,507,10648,2387,6595,1666,278,12.19999981,26.10000038,71.80000305,167.8000031,3523.800049,789.9000244,2182.5,551.2999878
11,AK,Alaska,1971,313000,1112,42,136,210,724,11923,2656,7631,1636,355.2999878,13.39999962,43.5,67.09999847,231.3000031,3809.300049,848.5999756,2438,522.7000122
12,AK,Alaska,1972,325000,1204,31,136,216,821,13351,3155,8577,1619,370.5,9.5,41.79999924,66.5,252.6000061,4108,970.7999878,2639.100098,498.2000122
13,AK,Alaska,1973,330000,1269,33,147,221,868,15044,3852,9456,1736,384.5,10,44.5,67,263,4558.799805,1167.300049,2865.5,526.0999756
14,AK,Alaska,1974,337000,1527,46,166,298,1017,16131,3932,10016,2183,453.1000061,13.60000038,49.29999924,88.40000153,301.7999878,4786.600098,1166.800049,2972.100098,647.7999878
15,AK,Alaska,1975,352000,1900,43,157,456,1244,19912,4275,12399,3238,539.7999878,12.19999981,44.59999847,129.5,353.3999939,5656.799805,1214.5,3522.399902,919.9000244
16,AK,Alaska,1976,382000,2063,43,179,477,1364,21700,4653,13969,3078,540.0999756,11.30000019,46.90000153,124.9000015,357.1000061,5680.600098,1218.099976,3656.800049,805.7999878
17,AK,Alaska,1977,407000,1804,44,210,394,1156,22201,5420,13715,3066,443.2000122,10.80000019,51.59999847,96.80000305,284,5454.799805,1331.699951,3369.800049,753.2999878
18,AK,Alaska,1978,403000,1781,52,224,368,1137,22585,5397,14522,2666,441.8999939,12.89999962,55.59999847,91.30000305,282.1000061,5604.200195,1339.199951,3603.5,661.5
19,AK,Alaska,1979,406000,1994,54,292,445,1203,23193,5616,15076,2501,491.1000061,13.30000019,71.90000153,109.5999985,296.2999878,5712.600098,1383.300049,3713.300049,616
20,AK,Alaska,1980,440142,1919,39,250,360,1270,22930,5545,14916,2469,436,8.899999619,56.79999924,81.80000305,288.5,5209.700195,1259.800049,3388.899902,561
21,AK,Alaska,1981,412000,2537,60,421,472,1584,24634,5479,16310,2845,615.7999878,14.60000038,102.1999969,114.5999985,384.5,5979.100098,1329.900024,3958.699951,690.5
22,AK,Alaska,1982,438000,2732,81,374,586,1691,24479,5204,16672,2603,623.7000122,18.5,85.40000153,133.8000031,386.1000061,5588.799805,1188.099976,3806.399902,594.2999878
23,AK,Alaska,1983,479000,2940,66,486,465,1923,25889,5720,17085,3084,613.7999878,13.80000019,101.5,97.09999847,401.5,5404.799805,1194.199951,3566.800049,643.7999878
24,AK,Alaska,1984,500000,3108,58,458,547,2045,27468,6184,18140,3144,621.5999756,11.60000038,91.59999847,109.4000015,409,5493.600098,1236.800049,3628,628.7999878
25,AK,Alaska,1985,521000,3031,51,402,484,2094,27588,6209,18220,3159,581.7999878,9.800000191,77.19999695,92.90000153,401.8999939,5295.200195,1191.699951,3497.100098,606.2999878
26,AK,Alaska,1986,534000,3046,46,388,470,2142,30307,6204,20879,3224,570.4000244,8.600000381,72.69999695,88,401.1000061,5675.5,1161.800049,3909.899902,603.7000122
27,AK,Alaska,1987,525000,2391,53,341,384,1613,25841,5093,18195,2553,455.3999939,10.10000038,65,73.09999847,307.2000122,4922.100098,970.0999756,3465.699951,486.2999878
28,AK,Alaska,1988,513000,2682,29,296,374,1983,22566,4321,15911,2334,522.7999878,5.699999809,57.70000076,72.90000153,386.5,4398.799805,842.2999878,3101.600098,455
29,AK,Alaska,1989,527000,2623,42,279,356,1946,22567,4358,15811,2398,497.7000122,8,52.90000153,67.59999847,369.2999878,4282.200195,826.9000244,3000.199951,455
30,AK,Alaska,1990,550043,2885,41,401,422,2021,25457,4919,17428,3110,524.5,7.5,72.90000153,76.69999695,367.3999939,4628.200195,894.2999878,3168.5,565.4000244
31,AK,Alaska,1991,570000,3499,42,523,645,2289,29000,5582,20375,3043,613.9000244,7.400000095,91.80000305,113.1999969,401.6000061,5087.700195,979.2999878,3574.600098,533.9000244
32,AK,Alaska,1992,587000,3877,44,579,640,2614,28816,5170,20728,2918,660.5,7.5,98.59999847,109,445.2999878,4909,880.7000122,3531.199951,497.1000061
33,AK,Alaska,1993,599000,4557,54,502,733,3268,28795,4893,21201,2701,760.7999878,9,83.80000305,122.4000015,545.5999756,4807.200195,816.9000244,3539.399902,450.8999939
34,AK,Alaska,1994,606000,4644,38,418,886,3302,29947,4848,21824,3275,766.2999878,6.300000191,69,146.1999969,544.9000244,4941.700195,800,3601.300049,540.4000244
35,AK,Alaska,1995,604000,4656,55,485,937,3179,30097,5055,21891,3151,770.9000244,9.100000381,80.30000305,155.1000061,526.2999878,4982.899902,836.9000244,3624.300049,521.7000122
36,AK,Alaska,1996,607000,4417,45,398,710,3264,28667,5118,20557,2992,727.7000122,7.400000095,65.59999847,117,537.7000122,4722.700195,843.2000122,3386.699951,492.8999939
37,AK,Alaska,1997,609000,4270,54,403,648,3165,27840,4276,20780,2784,701.0999756,8.899999619,66.19999695,106.4000015,519.7000122,4571.399902,702.0999756,3412.199951,457.1000061
38,AK,Alaska,1998,614000,4015,41,421,532,3021,25316,4098,18611,2607,653.9000244,6.699999809,68.59999847,86.59999847,492,4123.100098,667.4000244,3031.100098,424.6000061
39,AK,Alaska,1999,619000,3908,52,517,566,2773,23099,3787,16654,2658,630.7999878,8.399999619,83.5,91.40000153,447.6000061,3728.699951,611.2999878,2688.300049,429.1000061
40,AK,Alaska,2000,626932,3554,27,497,490,2540,23087,3899,16838,2350,566.9000244,4.300000191,79.30000305,78.19999695,405.1000061,3682.5,621.9000244,2685.800049,374.7999878
41,AK,Alaska,2001,634892,3735,39,501,514,2681,23160,3847,16695,2618,588.2999878,6.099999905,78.90000153,81,422.2999878,3647.899902,605.9000244,2629.600098,412.3999939
42,AK,Alaska,2002,641482,3627,33,511,489,2594,24118,3908,17739,2471,565.4000244,5.099999905,79.69999695,76.19999695,404.3999939,3759.699951,609.2000122,2765.300049,385.2000122
43,AK,Alaska,2003,648818,3850,39,600,444,2767,24280,3855,17977,2448,593.4000244,6,92.5,68.40000153,426.5,3742.199951,594.2000122,2770.699951,377.2999878
44,AL,Alabama,1960,3266740,6097,406,281,898,4512,33823,11626,19344,2853,186.6000061,12.39999962,8.600000381,27.5,138.1000061,1035.400024,355.8999939,592.0999756,87.30000305
45,AL,Alabama,1961,3302000,5564,427,252,630,4255,32541,11205,18801,2535,168.5,12.89999962,7.599999905,19.10000038,128.8999939,985.5,339.2999878,569.4000244,76.80000305
46,AL,Alabama,1962,3358000,5283,316,218,754,3995,35829,11722,21306,2801,157.3000031,9.399999619,6.5,22.5,119,1067,349.1000061,634.5,83.40000153
47,AL,Alabama,1963,3347000,6115,340,192,828,4755,38521,12614,22874,3033,182.6999969,10.19999981,5.699999809,24.70000076,142.1000061,1150.900024,376.8999939,683.4000244,90.59999847
48,AL,Alabama,1964,3407000,7260,316,397,992,5555,46290,15898,26713,3679,213.1000061,9.300000191,11.69999981,29.10000038,163,1358.699951,466.6000061,784.0999756,108
49,AL,Alabama,1965,3462000,6916,395,367,992,5162,48215,16398,28115,3702,199.8000031,11.39999962,10.60000038,28.70000076,149.1000061,1392.699951,473.7000122,812.0999756,106.9000015
50,AL,Alabama,1966,3517000,8098,384,341,1124,6249,53740,18551,30583,4606,230.3000031,10.89999962,9.699999809,32,177.6999969,1528,527.5,869.5999756,131
51,AL,Alabama,1967,3540000,8448,415,371,1167,6495,57079,20227,31682,5170,238.6000061,11.69999981,10.5,33,183.5,1612.400024,571.4000244,895,146
52,AL,Alabama,1968,3566000,8288,421,396,1462,6009,62997,22403,34508,6086,232.3999939,11.80000019,11.10000038,41,168.5,1766.599976,628.2000122,967.7000122,170.6999969
53,AL,Alabama,1969,3531000,8842,485,494,1448,6415,66248,23559,36644,6045,250.3999939,13.69999981,14,41,181.6999969,1876.199951,667.2000122,1037.800049,171.1999969
54,AL,Alabama,1970,3444165,10185,404,637,1731,7413,75214,26739,40779,7696,295.7000122,11.69999981,18.5,50.29999924,215.1999969,2183.800049,776.4000244,1184,223.5
55,AL,Alabama,1971,3479000,10835,524,661,2005,7645,76084,27547,40841,7696,311.3999939,15.10000038,19,57.59999847,219.6999969,2187,791.7999878,1173.900024,221.1999969
56,AL,Alabama,1972,3510000,10994,496,660,2407,7431,73053,27714,38493,6846,313.2000122,14.10000038,18.79999924,68.59999847,211.6999969,2081.300049,789.5999756,1096.699951,195
57,AL,Alabama,1973,3539000,12390,468,751,2809,8362,78999,31754,39206,8039,350.1000061,13.19999981,21.20000076,79.40000153,236.3000031,2232.199951,897.2999878,1107.800049,227.1999969
58,AL,Alabama,1974,3577000,13338,536,811,3562,8429,93976,37841,46813,9322,372.8999939,15,22.70000076,99.59999847,235.6000061,2627.199951,1057.900024,1308.699951,260.6000061
59,AL,Alabama,1975,3614000,14201,577,738,4446,8440,111296,42059,59470,9767,392.8999939,16,20.39999962,123,233.5,3079.600098,1163.800049,1645.5,270.2999878
60,AL,Alabama,1976,3665000,14248,553,794,3520,9381,125325,42879,72832,9614,388.7999878,15.10000038,21.70000076,96,256,3419.5,1170,1987.199951,262.2999878
61,AL,Alabama,1977,3690000,15293,524,929,3572,10268,121702,41901,69442,10359,414.3999939,14.19999981,25.20000076,96.80000305,278.2999878,3298.199951,1135.5,1881.900024,280.7000122
62,AL,Alabama,1978,3742000,15682,499,954,3708,10521,131707,46001,74387,11319,419.1000061,13.30000019,25.5,99.09999847,281.2000122,3519.699951,1229.300049,1987.900024,302.5
63,AL,Alabama,1979,3769000,15578,496,1037,4127,9918,144372,48517,83791,12064,413.2999878,13.19999981,27.5,109.5,263.1000061,3830.5,1287.300049,2223.199951,320.1000061
64,AL,Alabama,1980,3861466,17320,509,1158,5102,10551,173191,58952,102029,12210,448.5,13.19999981,30,132.1000061,273.2000122,4485.100098,1526.699951,2642.199951,316.2000122
65,AL,Alabama,1981,3916000,18423,465,1021,4952,11985,173411,56811,105471,11129,470.5,11.89999962,26.10000038,126.5,306.1000061,4428.299805,1450.699951,2693.300049,284.2000122
66,AL,Alabama,1982,3943000,17653,417,1026,4417,11793,165048,49531,104740,10777,447.7000122,10.60000038,26,112,299.1000061,4185.799805,1256.199951,2656.399902,273.2999878
67,AL,Alabama,1983,3959000,16471,364,931,3895,11281,145890,42485,94279,9126,416,9.199999809,23.5,98.40000153,284.8999939,3685,1073.099976,2381.399902,230.5
68,AL,Alabama,1984,3990000,17204,374,1002,3833,11995,138487,39970,89198,9319,431.2000122,9.399999619,25.10000038,96.09999847,300.6000061,3470.899902,1001.799988,2235.5,233.6000061
69,AL,Alabama,1985,4021000,18398,396,1079,4237,12686,140115,41612,88108,10395,457.5,9.800000191,26.79999924,105.4000015,315.5,3484.600098,1034.900024,2191.199951,258.5
70,AL,Alabama,1986,4053000,22616,409,1150,4523,16534,151191,46974,93396,10821,558,10.10000038,28.39999962,111.5999985,407.8999939,3730.300049,1159,2304.399902,267
71,AL,Alabama,1987,4083000,22833,380,1137,4581,16735,158918,48927,99260,10731,559.2000122,9.300000191,27.79999924,112.1999969,409.8999939,3892.199951,1198.300049,2431.100098,262.7999878
72,AL,Alabama,1988,4127000,23052,408,1228,4860,16556,165209,50920,103282,11007,558.5999756,9.899999619,29.79999924,117.8000031,401.2000122,4003.100098,1233.800049,2502.600098,266.7000122
73,AL,Alabama,1989,4118000,24329,421,1276,5515,17117,166244,47224,106771,12249,590.7999878,10.19999981,31,133.8999939,415.7000122,4037,1146.800049,2592.800049,297.5
74,AL,Alabama,1990,4040587,28630,467,1319,5805,21039,169974,44585,111336,14053,708.5999756,11.60000038,32.59999847,143.6999969,520.7000122,4206.700195,1103.400024,2755.399902,347.7999878
75,AL,Alabama,1991,4089000,34518,469,1455,6246,26348,184882,51873,118151,14858,844.2000122,11.5,35.59999847,152.8000031,644.4000244,4521.399902,1268.599976,2889.5,363.3999939
76,AL,Alabama,1992,4136000,36052,455,1704,6819,27074,181837,49053,117801,14983,871.7000122,11,41.20000076,164.8999939,654.5999756,4396.399902,1186,2848.199951,362.2999878
77,AL,Alabama,1993,4187000,32676,484,1471,6677,24044,171598,45578,111878,14142,780.4000244,11.60000038,35.09999847,159.5,574.2999878,4098.399902,1088.599976,2672,337.7999878
78,AL,Alabama,1994,4219000,28844,501,1487,7223,19633,178015,44064,119951,14000,683.7000122,11.89999962,35.20000076,171.1999969,465.2999878,4219.399902,1044.400024,2843.100098,331.7999878
79,AL,Alabama,1995,4253000,26894,475,1350,7900,17169,179294,43586,120967,14741,632.4000244,11.19999981,31.70000076,185.8000031,403.7000122,4215.700195,1024.800049,2844.300049,346.6000061
80,AL,Alabama,1996,4273000,24159,444,1397,7124,15194,181803,42821,123350,15632,565.4000244,10,33,167,356,4254.700195,1002.099976,2886.699951,366
81,AL,Alabama,1997,4319000,24379,426,1396,6931,15626,186809,43786,127616,15407,564.5,9.899999619,32.29999924,160.5,361.7999878,4325.299805,1013.799988,2954.800049,356.7000122
82,AL,Alabama,1998,4352000,22286,354,1443,5698,14791,177779,41965,120943,14871,512.0999756,8.100000381,33.20000076,130.8999939,339.8999939,4085,964.2999878,2779,341.7000122
83,AL,Alabama,1999,4370000,21421,345,1513,5297,14266,171398,38648,119616,13134,490.2000122,7.900000095,34.59999847,121.1999969,326.5,3922.199951,884.4000244,2737.199951,300.5
84,AL,Alabama,2000,4447100,21620,329,1482,5702,14107,180539,40331,127399,12809,486.2000122,7.400000095,33.29999924,128.1999969,317.2000122,4059.699951,906.9000244,2864.800049,288
85,AL,Alabama,2001,4464356,19582,379,1369,5584,12250,173253,40642,119992,12619,438.6000061,8.5,30.70000076,125.0999985,274.3999939,3880.800049,910.4000244,2687.800049,282.7000122
86,AL,Alabama,2002,4478896,19931,303,1664,5962,12002,180400,42578,123932,13890,445,6.800000191,37.20000076,133.1000061,268,4027.800049,950.5999756,2767,310.1000061
87,AL,Alabama,2003,4500752,19331,299,1656,6038,11338,182241,43245,124039,14957,429.5,6.599999905,36.79999924,134.1999969,251.8999939,4049.100098,960.7999878,2756,332.2999878
88,AR,Arkansas,1960,1786272,1924,152,159,443,1170,16548,5399,10250,899,107.6999969,8.5,8.899999619,24.79999924,65.5,926.4000244,302.2000122,573.7999878,50.29999924
89,AR,Arkansas,1961,1797000,1809,163,130,446,1070,16836,5536,10211,1089,100.6999969,9.100000381,7.199999809,24.79999924,59.5,936.9000244,308.1000061,568.2000122,60.59999847
90,AR,Arkansas,1962,1823000,1667,144,124,400,999,18199,5683,11169,1347,91.40000153,7.900000095,6.800000191,21.89999962,54.79999924,998.2999878,311.7000122,612.7000122,73.90000153
91,AR,Arkansas,1963,1858000,1991,137,113,466,1275,19949,6087,12315,1547,107.1999969,7.400000095,6.099999905,25.10000038,68.59999847,1073.699951,327.6000061,662.7999878,83.30000305
92,AR,Arkansas,1964,1933000,2641,147,157,565,1772,23633,7135,14622,1876,136.6000061,7.599999905,8.100000381,29.20000076,91.69999695,1222.599976,369.1000061,756.4000244,97.09999847
93,AR,Arkansas,1965,1960000,2662,115,203,465,1879,22313,6344,14254,1715,135.8000031,5.900000095,10.39999962,23.70000076,95.90000153,1138.400024,323.7000122,727.2000122,87.5
94,AR,Arkansas,1966,1955000,3185,139,192,574,2280,23850,7044,15140,1666,162.8999939,7.099999905,9.800000191,29.39999962,116.5999985,1219.900024,360.2999878,774.4000244,85.19999695
95,AR,Arkansas,1967,1968000,4320,173,279,693,3175,27728,8735,17301,1692,219.5,8.800000191,14.19999981,35.20000076,161.3000031,1408.900024,443.8999939,879.0999756,86
96,AR,Arkansas,1968,2012000,4360,163,349,796,3052,35046,11463,21506,2077,216.6999969,8.100000381,17.29999924,39.59999847,151.6999969,1741.800049,569.7000122,1068.900024,103.1999969
97,AR,Arkansas,1969,1995000,4390,197,347,885,2961,39271,12989,24069,2213,220.1000061,9.899999619,17.39999962,44.40000153,148.3999939,1968.5,651.0999756,1206.5,110.9000015
98,AR,Arkansas,1970,1923295,4276,195,328,877,2876,42290,14606,25388,2296,222.3000031,10.10000038,17.10000038,45.59999847,149.5,2198.800049,759.4000244,1320,119.4000015
99,AR,Arkansas,1971,1944000,4680,204,332,947,3197,40581,14014,24173,2394,240.6999969,10.5,17.10000038,48.70000076,164.5,2087.5,720.9000244,1243.5,123.0999985
100,AR,Arkansas,1972,1978000,4840,206,342,1084,3208,41690,14541,24891,2258,244.6999969,10.39999962,17.29999924,54.79999924,162.1999969,2107.699951,735.0999756,1258.400024,114.1999969
